Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Evgeny Kuznetsov,WSH,C,24,372.5000,6,9,5,4,15,0.966,1.450,2.416,62.50,32,18.75,3.40,57,48,40,20,2,4,12,6,6,0,0,6,6,12,9,15,6,154,164,48.43
Blake Lizotte,L.A,C,21,216.5000,1,4,2,2,5,0.277,1.109,1.386,62.50,20,5.00,2.08,35,30,19,11,8,0,4,2,2,0,0,7,3,5,15,44,2,55,65,45.83
Tyler Toffoli,MTL,R,25,322.8833,1,4,4,0,5,0.186,0.743,0.929,62.50,38,2.63,3.23,74,57,42,15,2,1,2,1,1,0,0,2,12,7,34,10,8,3,4,42.86
Martin Necas,CAR,C,20,254.5833,3,7,6,1,10,0.707,1.650,2.357,62.50,24,12.50,2.58,53,43,31,7,3,0,8,4,4,0,0,5,13,3,14,21,5,6,9,40.00
Anthony Duclair,FLA,L,19,246.1667,5,5,4,1,10,1.219,1.219,2.437,62.50,29,17.24,2.68,42,36,35,14,3,1,0,0,0,0,0,5,12,14,6,37,3,0,1,0.00
Patrice Bergeron,BOS,C,20,248.8500,4,4,2,2,8,0.964,0.964,1.929,61.54,45,8.89,2.81,59,50,33,8,3,3,0,0,0,0,0,2,5,8,23,8,12,181,97,65.11
Nicolas Roy,VGK,C,20,264.9000,2,6,5,1,8,0.453,1.359,1.812,61.54,28,7.14,3.37,42,34,36,18,2,6,10,5,5,0,0,1,13,7,23,14,10,106,112,48.62
Brett Murray,BUF,L,5,64.4833,1,2,1,1,3,0.930,1.861,2.791,60.00,4,25.00,0.65,8,6,6,4,0,1,6,2,2,0,0,1,0,0,5,4,1,0,0,0.00
Andreas Athanasiou,L.A,C,8,110.5000,2,1,1,0,3,1.086,0.543,1.629,60.00,17,11.76,1.66,30,27,17,8,2,0,0,0,0,0,0,2,0,6,3,6,3,0,0,0.00
Zach Aston-Reese,PIT,L,21,255.6500,1,5,3,2,6,0.235,1.173,1.408,60.00,22,4.55,1.78,33,27,20,14,0,2,5,1,0,1,0,1,4,4,77,35,9,1,0,100.00
