Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Sean Walker,L.A,D,6,89.4333,0,1,1,0,1,0.000,0.671,0.671,50.00,14,0.00,0.54,25,18,11,1,5,0,4,2,2,0,0,0,1,1,9,7,8,0,0,0.00
Mattias Norlinder,MTL,D,5,62.9000,0,1,0,1,1,0.000,0.954,0.954,50.00,2,0.00,0.10,3,2,0,0,0,0,2,1,1,0,0,0,0,0,4,4,3,0,0,0.00
Philip Broberg,EDM,D,5,84.2667,0,1,0,1,1,0.000,0.712,0.712,50.00,7,0.00,0.25,17,10,4,1,0,1,4,2,2,0,0,1,1,0,3,10,4,0,0,0.00
Alexander Holtz,N.J,R,6,55.8333,0,1,1,0,1,0.000,1.075,1.075,50.00,7,0.00,0.69,14,11,7,4,1,0,2,1,1,0,0,2,0,3,3,7,2,0,0,0.00
Vasily Podkolzin,VAN,R,22,243.6667,4,0,0,0,4,0.985,0.000,0.985,50.00,29,13.79,2.14,42,36,27,10,0,0,4,2,2,0,0,1,2,6,29,28,9,2,0,100.00
Loui Eriksson,ARI,L,21,239.0333,0,3,2,1,3,0.000,0.753,0.753,50.00,21,0.00,1.88,31,28,23,13,0,1,2,1,1,0,0,2,3,5,2,19,4,1,0,100.00
Logan Shaw,OTT,R,16,129.9000,1,2,1,1,3,0.462,0.924,1.386,50.00,16,6.25,1.13,20,18,13,6,1,1,2,1,1,0,0,1,3,4,8,12,3,46,27,63.01
Steven Lorentz,CAR,C,20,201.3333,3,0,0,0,3,0.894,0.000,0.894,50.00,24,12.50,3.24,42,34,29,20,1,2,4,2,2,0,0,2,3,11,23,36,7,25,20,55.56
Andrew Cogliano,S.J,C,20,211.7167,1,1,0,1,2,0.283,0.283,0.567,50.00,20,5.00,1.60,38,32,21,12,7,0,6,3,3,0,0,1,4,5,25,18,2,5,4,55.56
Michael Sgarbossa,WSH,C,4,32.0000,1,0,0,0,1,1.875,0.000,1.875,50.00,4,25.00,0.43,4,4,3,2,1,1,0,0,0,0,0,1,2,0,1,2,0,14,12,53.85
Lars Eller,WSH,C,18,234.6333,2,6,5,1,8,0.511,1.534,2.046,50.00,24,8.33,2.20,41,33,27,16,2,0,6,3,3,0,0,2,2,5,15,17,11,107,92,53.77
Nate Thompson,PHI,C,19,174.2833,1,0,0,0,1,0.344,0.000,0.344,50.00,5,20.00,0.80,18,13,11,4,0,2,2,1,1,0,0,2,3,1,27,15,6,65,56,53.72
Nick Bjugstad,MIN,C,20,191.9667,3,0,0,0,3,0.938,0.000,0.938,50.00,35,8.57,2.74,51,41,36,17,5,5,4,2,2,0,0,2,6,3,34,14,6,44,39,53.01
Kevin Labanc,S.J,R,17,198.5833,1,1,1,0,2,0.302,0.302,0.604,50.00,18,5.56,1.05,31,24,15,4,4,0,4,2,2,0,0,2,3,6,22,17,9,1,1,50.00
Jayson Megna,COL,C,18,178.1500,0,2,1,1,2,0.000,0.674,0.674,50.00,16,0.00,1.63,29,20,15,9,3,2,2,1,1,0,0,1,1,6,25,7,9,44,44,50.00
Benoit-Olivier Groulx,ANA,C,16,151.4500,0,2,1,1,2,0.000,0.792,0.792,50.00,13,0.00,0.99,25,16,12,6,1,2,2,1,1,0,0,0,3,3,17,16,5,33,33,50.00
Nolan Patrick,VGK,C,4,50.2333,1,0,0,0,1,1.194,0.000,1.194,50.00,8,12.50,0.64,13,10,8,5,1,1,0,0,0,0,0,0,1,1,6,4,1,18,21,46.15
Nathan Bastian,"N.J, SEA",R,16,140.9833,2,1,1,0,3,0.851,0.426,1.277,50.00,13,15.38,1.46,19,16,13,9,0,0,16,4,3,0,1,2,1,3,25,24,10,5,6,45.45
Jansen Harkins,WPG,C,22,234.9500,2,1,0,1,3,0.511,0.255,0.766,50.00,20,10.00,1.81,44,29,27,10,1,1,2,1,1,0,0,4,11,11,12,23,3,3,4,42.86
Zach Parise,NYI,L,18,202.3167,0,2,2,0,2,0.000,0.593,0.593,50.00,29,0.00,2.62,41,36,27,14,1,2,10,5,5,0,0,4,4,6,16,17,9,3,4,42.86
Sam Lafferty,PIT,R,7,55.4667,0,1,1,0,1,0.000,1.082,1.082,50.00,6,0.00,0.63,9,8,5,2,0,1,5,1,0,1,0,1,1,2,23,8,1,9,12,42.86
Ryan Nugent-Hopkins,EDM,C,21,298.0500,2,5,2,3,7,0.403,1.007,1.409,50.00,32,6.25,2.29,55,41,31,9,1,5,0,0,0,0,0,3,5,9,16,17,11,32,43,42.67
Anthony Cirelli,T.B,C,22,305.7667,3,4,4,0,7,0.589,0.785,1.374,50.00,30,10.00,2.96,60,46,37,14,6,0,2,1,1,0,0,8,1,4,22,32,13,74,105,41.34
Ross Colton,T.B,C,22,249.3667,2,2,1,1,4,0.481,0.481,0.962,50.00,41,4.88,2.90,59,50,37,18,13,0,2,1,1,0,0,7,3,9,39,20,9,74,105,41.34
Filip Chytil,NYR,C,18,209.4167,2,1,1,0,3,0.573,0.287,0.860,50.00,35,5.71,3.29,56,45,35,19,4,4,6,3,3,0,0,4,9,6,7,17,6,49,72,40.50
Tanner Pearson,VAN,L,24,309.1833,3,4,2,2,7,0.582,0.776,1.358,50.00,42,7.14,3.50,63,51,33,15,0,4,4,1,1,0,0,5,3,7,26,22,10,2,3,40.00
Sammy Blais,NYR,L,14,169.6667,0,4,3,1,4,0.000,1.415,1.415,50.00,14,0.00,1.77,28,22,19,9,0,0,4,2,2,0,0,4,3,2,36,24,8,2,3,40.00
Michael Amadio,"TOR, VGK",C,11,113.0333,0,1,1,0,1,0.000,0.531,0.531,50.00,9,0.00,1.14,20,13,14,7,3,0,0,0,0,0,0,1,2,6,8,17,4,8,12,40.00
Henrik Borgstrom,CHI,C,13,135.5500,1,0,0,0,1,0.443,0.000,0.443,50.00,14,7.14,1.33,29,20,15,8,1,2,0,0,0,0,0,1,4,8,5,4,6,25,43,36.76
Rasmus Kupari,L.A,C,20,204.2333,1,1,0,1,2,0.294,0.294,0.588,50.00,14,7.14,1.43,28,20,17,8,2,0,6,3,3,0,0,5,6,5,20,23,7,38,66,36.54
Tyson Jost,COL,C,20,234.1000,1,3,1,2,4,0.256,0.769,1.025,50.00,24,4.17,1.89,39,30,29,11,2,4,6,3,3,0,0,9,0,9,19,47,10,29,52,35.80
Carter Rowney,DET,C,13,132.1500,2,0,0,0,2,0.908,0.000,0.908,50.00,7,28.57,1.12,15,11,10,5,0,1,0,0,0,0,0,0,4,2,23,13,7,17,32,34.69
Mike Hoffman,MTL,C,13,173.3167,2,0,0,0,2,0.692,0.000,0.692,50.00,17,11.76,1.13,22,19,10,4,1,3,2,1,1,0,0,2,4,5,8,13,3,1,2,33.33
Mattias Janmark,VGK,C,17,194.8667,1,2,1,1,3,0.308,0.616,0.924,50.00,21,4.76,1.62,37,29,23,11,0,6,4,2,2,0,0,1,3,3,1,9,2,2,4,33.33
Dominik Kubalik,CHI,L,22,293.1667,0,2,1,1,2,0.000,0.409,0.409,50.00,24,0.00,2.48,57,41,30,8,1,2,6,2,2,0,0,4,6,4,39,13,11,1,2,33.33
Rasmus Asplund,BUF,C,23,297.1500,0,6,4,2,6,0.000,1.212,1.212,50.00,32,0.00,2.69,49,46,29,19,3,4,0,0,0,0,0,1,4,2,4,18,3,5,11,31.25
Garnet Hathaway,WSH,R,24,292.4167,5,1,0,1,6,1.026,0.205,1.231,50.00,43,11.63,3.53,69,52,43,17,4,4,10,5,5,0,0,5,3,7,84,32,9,3,13,18.75
Zach Sanford,OTT,L,21,229.2667,4,0,0,0,4,1.047,0.000,1.047,50.00,26,15.38,2.96,48,40,33,16,0,1,6,3,3,0,0,1,4,7,40,24,13,1,8,11.11
Marcus Foligno,MIN,L,23,275.6000,4,4,3,1,8,0.871,0.871,1.742,50.00,27,14.81,3.54,37,31,30,20,2,3,19,7,6,1,0,1,5,7,57,33,12,0,1,0.00
Drake Caggiula,BUF,C,18,225.8167,2,2,2,0,4,0.531,0.531,1.063,50.00,21,9.52,1.52,35,29,15,8,2,0,4,2,2,0,0,1,1,3,16,15,6,0,2,0.00
Robert Bortuzzo,STL,D,19,215.9333,1,1,0,1,2,0.278,0.278,0.556,50.00,12,8.33,0.84,26,19,10,3,0,1,11,4,3,1,0,3,0,1,36,18,16,0,6,0.00
Craig Smith,BOS,C,15,181.2167,2,1,1,0,3,0.662,0.331,0.993,50.00,30,6.67,2.24,54,39,30,11,1,1,0,0,0,0,0,2,4,6,20,18,2,0,3,0.00
James Neal,STL,L,17,171.8667,1,1,0,1,2,0.349,0.349,0.698,50.00,20,5.00,1.47,29,23,18,5,1,2,0,0,0,0,0,2,2,2,14,13,3,0,2,0.00
Joel Kiviranta,DAL,L,19,174.7167,0,2,0,2,2,0.000,0.687,0.687,50.00,13,0.00,1.25,22,16,11,6,0,1,8,4,4,0,0,2,2,3,40,14,8,0,1,0.00
Dmitry Kulikov,MIN,D,22,317.0667,2,8,5,3,10,0.378,1.514,1.892,47.62,10,20.00,1.04,33,16,10,4,1,2,0,0,0,0,0,2,7,5,29,34,16,0,0,0.00
John Carlson,WSH,D,24,395.7167,1,9,7,2,10,0.152,1.365,1.516,47.62,31,3.23,1.45,63,52,15,2,2,3,4,2,2,0,0,3,8,6,18,28,21,0,0,0.00
Kevin Shattenkirk,ANA,D,24,369.3167,4,3,2,1,7,0.650,0.487,1.137,46.67,33,12.12,1.59,56,41,20,6,2,2,6,3,3,0,0,0,8,3,18,30,21,0,0,0.00
Shea Theodore,VGK,D,20,373.1167,3,4,2,2,7,0.482,0.643,1.126,46.67,43,6.98,2.37,94,57,34,10,1,9,6,3,3,0,0,2,16,15,4,34,24,0,0,0.00
Evan Bouchard,EDM,D,21,348.4000,2,5,1,4,7,0.344,0.861,1.206,46.67,42,4.76,1.83,77,55,14,4,0,4,2,1,1,0,0,3,17,6,18,24,26,0,0,0.00
Gustav Nyquist,CBJ,C,21,284.6833,3,4,4,0,7,0.632,0.843,1.475,46.67,18,16.67,2.15,34,28,23,10,1,3,2,1,1,0,0,4,5,9,3,20,10,2,4,33.33
Evgenii Dadonov,VGK,R,22,298.5833,2,4,4,0,6,0.402,0.804,1.206,46.15,48,4.17,4.28,79,62,46,25,6,8,2,1,1,0,0,3,7,3,15,34,7,0,0,0.00
Mikhail Sergachev,T.B,D,20,324.2000,1,5,2,3,6,0.185,0.925,1.110,46.15,24,4.17,0.63,48,32,13,1,1,0,6,3,3,0,0,0,7,2,24,28,19,0,0,0.00
Mike Matheson,PIT,D,20,340.2833,1,5,2,3,6,0.176,0.882,1.058,46.15,28,3.57,1.22,65,42,18,4,1,3,4,2,2,0,0,2,17,14,25,30,20,0,0,0.00
Ryan McDonagh,T.B,D,22,384.4333,1,5,1,4,6,0.156,0.780,0.936,46.15,23,4.35,0.96,52,37,14,2,6,0,2,1,1,0,0,0,6,4,26,29,30,10,0,100.00
Rickard Rakell,ANA,L,14,206.0333,5,1,1,0,6,1.456,0.291,1.747,46.15,33,15.15,3.05,64,45,33,15,1,3,2,1,1,0,0,1,4,7,9,16,12,9,7,56.25
Barclay Goodrow,NYR,C,21,268.4500,1,5,4,1,6,0.224,1.118,1.341,46.15,21,4.76,2.32,35,29,21,14,0,3,12,6,6,0,0,2,6,7,44,16,8,46,54,46.00
Brett Kulak,MTL,D,21,327.3333,0,5,1,4,5,0.000,0.916,0.916,45.45,20,0.00,0.64,40,24,13,2,2,6,2,1,1,0,0,5,12,4,20,28,15,0,0,0.00
Dougie Hamilton,N.J,D,18,310.3167,5,5,3,2,10,0.967,0.967,1.934,45.45,58,8.62,3.14,98,77,38,12,16,0,8,4,4,0,0,2,12,3,24,5,29,2,0,100.00
Victor Hedman,T.B,D,22,406.3500,4,6,3,3,10,0.591,0.886,1.477,45.45,47,8.51,1.98,86,63,38,4,12,0,16,8,8,0,0,2,5,6,35,28,27,1,0,100.00
Sean Couturier,PHI,C,21,297.1000,3,2,1,1,5,0.606,0.404,1.010,45.45,44,6.82,4.45,67,54,40,20,2,6,2,1,1,0,0,3,11,14,15,15,10,104,71,59.43
Mark Scheifele,WPG,C,16,266.0833,1,4,2,2,5,0.225,0.902,1.127,45.45,22,4.55,2.13,38,30,24,11,0,3,0,0,0,0,0,3,9,11,1,19,12,69,68,50.36
Anton Lundell,FLA,C,19,244.3333,3,2,1,1,5,0.737,0.491,1.228,45.45,30,10.00,2.53,54,41,35,12,2,3,6,3,3,0,0,3,9,10,8,21,14,98,98,50.00
Taylor Hall,BOS,L,20,252.0167,1,4,2,2,5,0.238,0.952,1.190,45.45,39,2.56,2.79,57,45,36,14,2,5,6,3,3,0,0,1,6,7,13,42,9,1,1,50.00
Elias Lindholm,CGY,C,23,316.8167,4,5,1,4,9,0.758,0.947,1.704,45.00,50,8.00,3.97,68,60,51,19,1,5,0,0,0,0,0,1,5,11,14,18,11,158,123,56.23
Adam Boqvist,CBJ,D,14,195.0500,3,1,1,0,4,0.923,0.308,1.230,44.44,16,18.75,1.31,31,21,13,4,2,2,0,0,0,0,0,4,6,3,5,16,11,0,0,0.00
Anton Stralman,ARI,D,19,328.7000,2,2,0,2,4,0.365,0.365,0.730,44.44,22,9.09,0.64,40,25,10,1,0,3,2,1,1,0,0,1,3,4,11,16,17,0,0,0.00
Filip Zadina,DET,R,24,294.2667,2,2,0,2,4,0.408,0.408,0.816,44.44,41,4.88,3.00,80,56,43,13,2,8,2,1,1,0,0,3,11,3,17,17,12,0,0,0.00
Erik Cernak,T.B,D,14,226.3167,1,3,1,2,4,0.265,0.795,1.060,44.44,32,3.13,1.23,58,46,18,2,6,0,4,2,2,0,0,3,4,6,32,24,10,0,0,0.00
Mark Friedman,PIT,D,11,136.2167,0,4,1,3,4,0.000,1.762,1.762,44.44,10,0.00,0.80,21,19,6,2,0,2,4,2,2,0,0,2,1,2,17,26,11,0,0,0.00
Ilya Lyubushkin,ARI,D,23,342.5000,0,4,2,2,4,0.000,0.701,0.701,44.44,17,0.00,0.52,29,25,3,0,0,0,8,4,4,0,0,1,4,6,39,27,26,0,0,0.00
Brayden Schenn,STL,C,14,184.9333,2,2,1,1,4,0.649,0.649,1.298,44.44,14,14.29,1.15,31,21,24,6,0,0,12,3,1,2,0,3,1,3,14,6,2,57,50,53.27
Teuvo Teravainen,CAR,L,22,269.3833,0,4,4,0,4,0.000,0.891,0.891,44.44,30,0.00,2.33,51,40,25,8,0,3,10,5,5,0,0,1,8,3,7,10,9,2,5,28.57
Kris Letang,PIT,D,19,384.5833,0,7,3,4,7,0.000,1.092,1.092,43.75,35,0.00,1.32,78,49,23,3,0,2,12,6,6,0,0,1,17,6,36,31,25,0,0,0.00
Morgan Rielly,TOR,D,24,438.3167,2,8,3,5,10,0.274,1.095,1.369,43.48,42,4.76,1.71,75,55,26,1,1,3,2,1,1,0,0,1,21,13,24,33,18,0,0,0.00
Jake Bean,CBJ,D,21,402.5500,2,4,2,2,6,0.298,0.596,0.894,42.86,26,7.69,1.22,61,37,22,2,1,4,2,1,1,0,0,1,6,6,7,24,28,0,0,0.00
Samuel Girard,COL,D,18,314.5667,1,8,5,3,9,0.191,1.526,1.717,42.86,17,5.88,0.68,44,25,10,1,0,0,8,4,4,0,0,3,7,6,16,23,22,0,0,0.00
Ethan Bear,CAR,D,16,243.3333,1,5,3,2,6,0.247,1.233,1.479,42.86,23,4.35,0.90,47,30,9,3,2,2,12,5,5,0,0,1,8,6,11,26,10,0,0,0.00
Nikita Zadorov,CGY,D,17,258.6333,1,2,1,1,3,0.232,0.464,0.696,42.86,23,4.35,0.77,42,33,8,0,0,1,8,4,4,0,0,0,16,4,33,21,15,0,0,0.00
Jaccob Slavin,CAR,D,22,385.4833,0,9,4,5,9,0.000,1.401,1.401,42.86,40,0.00,1.55,87,58,27,1,0,2,6,3,3,0,0,1,8,16,11,32,23,0,0,0.00
Moritz Seider,DET,D,24,411.2667,0,6,2,4,6,0.000,0.875,0.875,42.86,32,0.00,1.43,61,41,13,1,0,2,12,6,6,0,0,3,10,10,27,24,28,0,0,0.00
Nick Paul,OTT,L,21,286.7667,3,0,0,0,3,0.628,0.000,0.628,42.86,35,8.57,2.32,59,48,32,9,0,2,9,3,2,1,0,1,9,9,25,31,17,80,63,55.94
Phil Kessel,ARI,R,23,311.9667,2,4,3,1,6,0.385,0.769,1.154,42.86,39,5.13,3.08,64,54,29,10,0,4,6,3,3,0,0,0,10,11,2,7,6,1,1,50.00
Michael McLeod,N.J,C,21,247.0667,0,3,0,3,3,0.000,0.729,0.729,42.86,25,0.00,1.72,42,34,24,9,5,0,7,2,1,1,0,3,4,11,31,22,6,83,90,47.98
Joe Thornton,FLA,C,13,117.8000,1,2,1,1,3,0.509,1.019,1.528,42.86,7,14.29,0.73,13,9,5,2,1,0,2,1,1,0,0,0,8,4,12,8,2,35,46,43.21
Jason Dickinson,VAN,C,22,234.4833,1,2,1,1,3,0.256,0.512,0.768,42.86,29,3.45,1.94,46,38,26,9,0,4,2,1,1,0,0,1,5,3,33,35,13,48,67,41.74
Jordan Greenway,MIN,L,19,217.2667,1,5,0,5,6,0.276,1.381,1.657,42.86,20,5.00,1.72,34,31,17,9,2,4,8,4,4,0,0,4,2,2,36,16,6,7,11,38.89
Oliver Wahlstrom,NYI,R,18,195.0167,3,0,0,0,3,0.923,0.000,0.923,42.86,27,11.11,2.11,60,42,30,6,3,4,6,3,3,0,0,6,5,6,31,13,4,1,8,11.11
Zach Werenski,CBJ,D,21,409.3500,2,3,1,2,5,0.293,0.440,0.733,41.67,49,4.08,2.85,92,64,32,11,2,4,6,3,3,0,0,3,5,7,9,21,24,0,0,0.00
Kirby Dach,CHI,C,22,329.2500,1,4,3,1,5,0.182,0.729,0.911,41.67,26,3.85,2.71,49,40,35,17,2,0,16,8,8,0,0,7,6,15,12,45,15,63,132,32.31
Brendan Gallagher,MTL,R,23,291.0833,0,5,3,2,5,0.000,1.031,1.031,41.67,46,0.00,4.61,83,65,56,26,3,10,12,6,6,0,0,8,5,5,22,22,14,7,16,30.43
Quinn Hughes,VAN,D,23,422.3167,2,5,4,1,7,0.284,0.710,0.995,41.18,29,6.90,0.85,68,40,12,0,0,2,8,4,4,0,0,3,10,8,1,21,14,0,0,0.00
Tyson Barrie,EDM,D,21,323.2500,1,6,5,1,7,0.186,1.114,1.299,41.18,32,3.13,1.24,58,37,12,3,1,2,4,2,2,0,0,0,5,2,10,36,24,0,0,0.00
Nicolas Hague,VGK,D,22,354.1500,3,6,3,3,9,0.508,1.017,1.525,40.91,40,7.50,2.01,78,55,20,7,3,5,10,5,5,0,0,3,13,12,18,46,27,0,0,0.00
Vladislav Gavrikov,CBJ,D,21,359.9500,1,8,3,5,9,0.167,1.334,1.500,40.91,23,4.35,0.80,45,30,10,3,1,1,8,3,3,0,0,3,5,8,30,24,26,0,0,0.00
Roman Josi,NSH,D,23,460.2000,2,7,4,3,9,0.261,0.913,1.173,40.91,50,4.00,2.01,101,73,19,3,1,6,14,7,7,0,0,2,16,11,12,21,26,0,0,0.00
Cody Ceci,EDM,D,20,346.7500,1,5,3,2,6,0.173,0.865,1.038,40.00,25,4.00,0.72,44,29,7,2,0,2,2,1,1,0,0,1,6,2,25,43,21,0,0,0.00
Andy Greene,NYI,D,14,213.7833,0,2,1,1,2,0.000,0.561,0.561,40.00,5,0.00,0.27,23,14,3,0,0,0,0,0,0,0,0,0,6,3,6,23,25,0,0,0.00
Ben Hutton,VGK,D,8,110.7000,0,2,2,0,2,0.000,1.084,1.084,40.00,8,0.00,0.23,18,12,4,0,0,0,12,3,1,2,0,1,0,2,6,13,9,0,0,0.00
Dylan Coghlan,VGK,D,16,204.9833,0,2,1,1,2,0.000,0.585,0.585,40.00,19,0.00,0.66,47,31,9,2,2,3,2,1,1,0,0,0,6,6,13,15,10,0,0,0.00
Juuso Valimaki,CGY,D,8,115.6667,0,2,1,1,2,0.000,1.037,1.037,40.00,10,0.00,0.37,17,10,5,0,0,3,6,3,3,0,0,2,2,3,5,12,8,0,0,0.00
Carl Hagelin,WSH,L,24,283.5833,0,4,2,2,4,0.000,0.846,0.846,40.00,28,0.00,2.67,48,40,25,11,1,2,8,3,3,0,0,1,5,4,15,16,5,2,1,66.67
Calle Jarnkrok,SEA,C,14,183.1833,1,1,0,1,2,0.328,0.328,0.655,40.00,11,9.09,1.00,20,16,13,5,1,1,0,0,0,0,0,2,5,4,8,10,2,25,20,55.56
Brian Boyle,PIT,C,16,135.1833,2,0,0,0,2,0.888,0.000,0.888,40.00,20,10.00,1.86,31,27,17,9,1,2,9,2,1,1,0,2,1,0,16,14,8,46,38,54.76
Barrett Hayton,ARI,C,17,209.9333,1,1,1,0,2,0.286,0.286,0.572,40.00,12,8.33,1.36,25,21,18,11,0,0,2,1,1,0,0,3,4,5,19,16,6,96,94,50.53
Mike Hardman,CHI,L,16,150.3167,0,2,1,1,2,0.000,0.798,0.798,40.00,10,0.00,1.24,21,16,15,7,0,3,6,3,3,0,0,0,4,5,45,12,11,1,1,50.00
Anders Lee,NYI,L,13,178.2000,4,0,0,0,4,1.347,0.000,1.347,40.00,25,16.00,2.54,41,34,25,18,1,3,2,1,1,0,0,1,1,2,14,14,3,16,18,47.06
Trevor Moore,L.A,C,22,246.2667,1,1,1,0,2,0.244,0.244,0.487,40.00,34,2.94,3.58,54,43,34,20,17,0,2,1,1,0,0,2,3,5,20,32,6,3,4,42.86
Mason McTavish,ANA,C,9,96.8833,2,0,0,0,2,1.239,0.000,1.239,40.00,12,16.67,1.19,15,14,10,8,1,1,2,1,1,0,0,2,0,2,7,5,6,0,3,0.00
Matt Nieto,S.J,L,16,189.5833,1,1,1,0,2,0.316,0.316,0.633,40.00,17,5.88,1.03,21,19,12,5,3,0,0,0,0,0,0,2,4,7,23,29,7,0,3,0.00
Rasmus Dahlin,BUF,D,23,429.8333,2,5,2,3,7,0.279,0.698,0.977,38.89,36,5.56,0.80,60,42,13,1,1,1,12,6,6,0,0,1,10,7,28,26,16,0,0,0.00
Colton Parayko,STL,D,23,468.7667,1,6,0,6,7,0.128,0.768,0.896,38.89,38,2.63,1.54,77,56,18,3,2,2,8,4,4,0,0,6,16,7,16,36,35,0,0,0.00
Brent Burns,S.J,D,23,456.5167,0,7,3,4,7,0.000,0.920,0.920,38.89,31,0.00,1.38,87,50,30,4,16,0,14,7,7,0,0,1,22,16,11,14,33,0,0,0.00
Erik Karlsson,S.J,D,17,291.5333,3,2,0,2,5,0.617,0.412,1.029,38.46,27,11.11,1.49,68,42,28,6,13,0,2,1,1,0,0,6,12,14,6,24,14,0,0,0.00
Ryan Suter,DAL,D,21,377.2167,1,4,1,3,5,0.159,0.636,0.795,38.46,18,5.56,0.93,49,34,19,2,0,1,8,4,4,0,0,0,10,7,8,13,18,0,0,0.00
Nate Schmidt,WPG,D,22,398.9333,1,4,4,0,5,0.150,0.602,0.752,38.46,26,3.85,1.33,67,47,14,1,0,3,0,0,0,0,0,2,11,5,12,19,28,0,0,0.00
Charlie McAvoy,BOS,D,20,355.8167,1,4,1,3,5,0.169,0.675,0.843,38.46,37,2.70,1.46,55,47,15,2,0,5,13,5,4,1,0,4,11,6,37,47,33,0,0,0.00
Brady Skjei,CAR,D,22,368.8333,1,4,2,2,5,0.163,0.651,0.813,38.46,41,2.44,2.22,77,55,20,9,0,8,14,7,7,0,0,3,13,10,22,30,17,0,0,0.00
Filip Hronek,DET,D,22,397.1167,0,5,3,2,5,0.000,0.755,0.755,38.46,25,0.00,0.83,48,34,10,3,1,4,6,3,3,0,0,3,13,2,13,24,24,0,0,0.00
Rasmus Sandin,TOR,D,23,334.6333,0,5,3,2,5,0.000,0.897,0.897,38.46,20,0.00,1.14,54,33,20,5,0,3,2,1,1,0,0,1,11,4,35,47,14,0,0,0.00
Kailer Yamamoto,EDM,R,21,286.2000,4,1,0,1,5,0.839,0.210,1.048,38.46,24,16.67,2.70,40,33,29,17,0,0,2,1,1,0,0,6,8,6,19,31,6,0,1,0.00
Mikko Rantanen,COL,R,17,245.5000,4,4,2,2,8,0.978,0.978,1.955,38.10,28,14.29,3.24,60,48,41,18,1,3,10,5,5,0,0,5,6,10,14,21,5,35,36,49.30
Keith Yandle,PHI,D,21,265.2500,0,3,1,2,3,0.000,0.679,0.679,37.50,28,0.00,0.62,51,34,6,1,0,1,2,1,1,0,0,0,12,2,12,6,15,0,0,0.00
Arthur Kaliyev,L.A,R,21,207.4167,2,1,1,0,3,0.579,0.289,0.868,37.50,29,6.90,1.92,42,36,21,12,9,0,2,1,1,0,0,2,3,2,9,28,3,7,0,100.00
Ty Smith,N.J,D,16,254.8500,1,2,1,1,3,0.235,0.471,0.706,37.50,19,5.26,0.95,51,29,16,4,8,0,2,1,1,0,0,2,6,7,12,17,17,3,0,100.00
Joel Armia,MTL,R,25,285.2333,1,2,1,1,3,0.210,0.421,0.631,37.50,38,2.63,3.32,64,49,40,18,4,4,6,3,3,0,0,4,11,10,46,15,11,1,7,12.50
Eeli Tolvanen,NSH,R,23,244.6167,1,2,2,0,3,0.245,0.491,0.736,37.50,42,2.38,2.98,65,49,36,12,3,4,2,1,1,0,0,3,3,4,36,14,6,0,1,0.00
Justin Faulk,STL,D,22,421.4167,3,5,0,5,8,0.427,0.712,1.139,36.36,50,6.00,2.08,85,62,27,5,4,1,6,3,3,0,0,4,9,9,36,18,27,0,0,0.00
Brayden McNabb,VGK,D,22,341.1000,0,4,1,3,4,0.000,0.704,0.704,36.36,13,0.00,0.80,38,26,10,1,0,2,10,5,5,0,0,3,9,18,39,47,34,0,0,0.00
John Klingberg,DAL,D,16,280.3167,0,4,3,1,4,0.000,0.856,0.856,36.36,20,0.00,0.80,44,28,11,1,0,2,4,2,2,0,0,2,12,3,15,34,18,0,0,0.00
Jared Spurgeon,MIN,D,17,234.9333,2,3,3,0,5,0.511,0.766,1.277,35.71,20,10.00,1.17,43,28,20,4,2,1,2,1,1,0,0,0,2,0,13,22,16,0,0,0.00
Duncan Keith,EDM,D,18,304.8667,1,4,2,2,5,0.197,0.787,0.984,35.71,20,5.00,1.11,45,30,10,2,1,4,2,1,1,0,0,2,13,10,6,22,24,0,0,0.00
Darnell Nurse,EDM,D,16,325.5167,0,5,2,3,5,0.000,0.922,0.922,35.71,43,0.00,1.50,84,55,26,2,3,4,10,5,5,0,0,1,16,8,60,19,13,0,0,0.00
Jan Rutta,T.B,D,21,312.2500,2,4,1,3,6,0.384,0.769,1.153,35.29,25,8.00,0.90,55,39,10,3,8,0,10,5,5,0,0,2,4,2,17,35,17,4,0,100.00
Sam Bennett,FLA,C,19,243.6167,4,2,2,0,6,0.985,0.493,1.478,35.29,48,8.33,3.90,80,59,52,20,1,8,8,4,4,0,0,4,10,5,40,19,6,87,103,45.79
Jamie Oleksiak,SEA,D,23,395.6500,0,7,4,3,7,0.000,1.062,1.062,35.00,27,0.00,1.70,49,36,15,5,2,4,14,3,2,0,1,1,9,8,68,33,20,0,0,0.00
Colin Miller,BUF,D,23,377.1833,2,6,4,2,8,0.318,0.954,1.273,34.78,28,7.14,0.85,45,38,6,1,0,3,10,5,5,0,0,4,10,6,25,22,22,0,0,0.00
Brendan Smith,CAR,D,11,141.5000,2,0,0,0,2,0.848,0.000,0.848,33.33,13,15.38,0.36,34,19,5,0,0,0,4,2,2,0,0,2,3,2,20,20,4,0,0,0.00
