date,visitor, visitor_goals,home,home_goals,extra_time
2021-12-12,Nashville Predators,1,New York Rangers,0,no
2021-12-12,Anaheim Ducks,3,St. Louis Blues,2,OT
2021-12-12,Carolina Hurricanes,1,Vancouver Canucks,2,no
2021-12-12,Minnesota Wild,4,Vegas Golden Knights,6,no
2021-12-14,Vegas Golden Knights,4,Boston Bruins,1,no
2021-12-14,New York Rangers,2,Colorado Avalanche,4,no
2021-12-14,St. Louis Blues,4,Dallas Stars,1,no
2021-12-14,New York Islanders,1,Detroit Red Wings,2,no
2021-12-14,Toronto Maple Leafs,5,Edmonton Oilers,1,no
2021-12-14,Ottawa Senators,8,Florida Panthers,2,no
2021-12-14,New Jersey Devils,1,Philadelphia Flyers,6,no
2021-12-14,Montreal Canadiens,2,Pittsburgh Penguins,5,no
2021-12-14,Seattle Kraken,3,San Jose Sharks,1,no
2021-12-14,Los Angeles Kings,2,Tampa Bay Lightning,3,OT
2021-12-14,Columbus Blue Jackets,3,Vancouver Canucks,4,no
2021-12-14,Buffalo Sabres,4,Winnipeg Jets,2,no
2021-12-15,Seattle Kraken,1,Anaheim Ducks,4,no
2021-12-15,New York Rangers,3,Arizona Coyotes,2,no
2021-12-15,Washington Capitals,4,Chicago Blackhawks,5,OT
2021-12-16,Detroit Red Wings,3,Carolina Hurricanes,5,no
2021-12-16,Columbus Blue Jackets,2,Edmonton Oilers,5,no
2021-12-16,Los Angeles Kings,4,Florida Panthers,1,no
2021-12-16,Buffalo Sabres,3,Minnesota Wild,2,SO
2021-12-16,Philadelphia Flyers,2,Montreal Canadiens,3,SO
2021-12-16,Vegas Golden Knights,5,New Jersey Devils,3,no
2021-12-16,Colorado Avalanche,2,Nashville Predators,5,no
2021-12-16,Boston Bruins,1,New York Islanders,3,no
2021-12-16,Vancouver Canucks,5,San Jose Sharks,2,no
2021-12-16,Ottawa Senators,1,Tampa Bay Lightning,2,no
2021-12-17,Arizona Coyotes,6,Anaheim Ducks,5,OT
2021-12-17,Nashville Predators,3,Chicago Blackhawks,2,OT
2021-12-17,Vegas Golden Knights,3,New York Rangers,2,SO
2021-12-17,Buffalo Sabres,2,Pittsburgh Penguins,3,OT
2021-12-17,Dallas Stars,1,St. Louis Blues,4,no
2021-12-17,Washington Capitals,5,Winnipeg Jets,2,no
2021-12-18,Los Angeles Kings,1,Carolina Hurricanes,5,no
2021-12-18,Chicago Blackhawks,3,Dallas Stars,4,OT
2021-12-18,New Jersey Devils,2,Detroit Red Wings,5,no
2021-12-18,Ottawa Senators,3,Philadelphia Flyers,4,OT
2021-12-18,Edmonton Oilers,5,Seattle Kraken,3,no
2021-12-19,Pittsburgh Penguins,3,New Jersey Devils,2,no
2021-12-19,Vegas Golden Knights,4,New York Islanders,3,SO
2021-12-19,St. Louis Blues,2,Winnipeg Jets,4,no
2021-12-19,Los Angeles Kings,3,Washington Capitals,2,no
2021-12-20,Minnesota Wild,4,Dallas Stars,7,no
2021-12-21,Tampa Bay Lightning,4,Vegas Golden Knights,3,no
2021-12-28,Vegas Golden Knights,6,Los Angeles Kings,3,no
2021-12-28,Arizona Coyotes,7,San Jose Sharks,8,SO
2021-12-28,Montreal Canadiens,4,Tampa Bay Lightning,5,OT
2021-12-29,Vancouver Canucks,2,Anaheim Ducks,1,OT
2021-12-29,New Jersey Devils,4,Buffalo Sabres,3,no
2021-12-29,New York Rangers,3,Florida Panthers,4,no
2021-12-29,Philadelphia Flyers,3,Seattle Kraken,2,OT
2021-12-29,Edmonton Oilers,2,St. Louis Blues,4,no
2021-12-29,Nashville Predators,3,Washington Capitals,5,no
2021-12-30,Montreal Canadiens,0,Carolina Hurricanes,4,no
2021-12-30,Nashville Predators,3,Columbus Blue Jackets,4,SO
2021-12-30,Tampa Bay Lightning,3,Florida Panthers,9,no
2021-12-30,Vancouver Canucks,1,Los Angeles Kings,2,SO
2021-12-30,Buffalo Sabres,1,New York Islanders,4,no
2021-12-30,Calgary Flames,6,Seattle Kraken,4,no
2021-12-30,Philadelphia Flyers,2,San Jose Sharks,3,OT
2021-12-31,Washington Capitals,3,Detroit Red Wings,1,no
2021-12-31,Edmonton Oilers,5,New Jersey Devils,6,OT
2021-12-31,New York Rangers,4,Tampa Bay Lightning,3,SO
2021-12-31,Anaheim Ducks,1,Vegas Golden Knights,3,no
2022-01-01,Buffalo Sabres,3,Boston Bruins,4,OT
2022-01-01,Carolina Hurricanes,7,Columbus Blue Jackets,4,no
2022-01-01,Montreal Canadiens,2,Florida Panthers,5,no
2022-01-01,Philadelphia Flyers,3,Los Angeles Kings,6,no
2022-01-01,St. Louis Blues,6,Minnesota Wild,4,no
2022-01-01,Chicago Blackhawks,1,Nashville Predators,6,no
2022-01-01,Edmonton Oilers,2,New York Islanders,3,OT
2022-01-01,Vancouver Canucks,5,Seattle Kraken,2,no
2022-01-01,Ottawa Senators,0,Toronto Maple Leafs,6,no
2022-01-02,Calgary Flames,5,Chicago Blackhawks,1,no
2022-01-02,Anaheim Ducks,2,Colorado Avalanche,4,no
2022-01-02,Boston Bruins,5,Detroit Red Wings,1,no
2022-01-02,Tampa Bay Lightning,0,New York Rangers,4,no
2022-01-02,San Jose Sharks,5,Pittsburgh Penguins,8,no
2022-01-02,Winnipeg Jets,5,Vegas Golden Knights,4,OT
2022-01-02,New Jersey Devils,4,Washington Capitals,3,OT
