date,visitor, visitor_goals,home,home_goals,extra_time
2021-11-09,Carolina Hurricanes,2,Tampa Bay Lightning,1,OT
2021-11-09,Anaheim Ducks,3,Vancouver Canucks,2,OT
2021-11-09,Seattle Kraken,2,Vegas Golden Knights,4,no
2021-11-09,St. Louis Blues,3,Winnipeg Jets,2,SO
2021-11-10,Minnesota Wild,5,Arizona Coyotes,2,no
2021-11-10,Nashville Predators,4,Dallas Stars,2,no
2021-11-10,Toronto Maple Leafs,3,Philadelphia Flyers,0,no
2021-11-11,Edmonton Oilers,5,Boston Bruins,3,no
2021-11-11,Vancouver Canucks,1,Colorado Avalanche,7,no
2021-11-11,Washington Capitals,2,Detroit Red Wings,0,no
2021-11-11,Calgary Flames,2,Montreal Canadiens,4,no
2021-11-11,New York Islanders,0,New Jersey Devils,4,no
2021-11-11,Los Angeles Kings,2,Ottawa Senators,0,no
2021-11-11,Florida Panthers,2,Pittsburgh Penguins,3,SO
2021-11-11,Anaheim Ducks,7,Seattle Kraken,4,no
2021-11-11,Nashville Predators,4,St. Louis Blues,3,OT
2021-11-11,Minnesota Wild,2,Vegas Golden Knights,3,no
2021-11-11,San Jose Sharks,1,Winnipeg Jets,4,no
2021-11-12,Edmonton Oilers,2,Buffalo Sabres,3,no
2021-11-12,Philadelphia Flyers,2,Carolina Hurricanes,1,no
2021-11-12,Washington Capitals,4,Columbus Blue Jackets,3,no
2021-11-12,Arizona Coyotes,1,Chicago Blackhawks,2,no
2021-11-12,Calgary Flames,1,Toronto Maple Leafs,2,OT
2021-11-13,Toronto Maple Leafs,5,Buffalo Sabres,4,no
2021-11-13,St. Louis Blues,2,Carolina Hurricanes,3,no
2021-11-13,New York Rangers,5,Columbus Blue Jackets,3,no
2021-11-13,San Jose Sharks,2,Colorado Avalanche,6,no
2021-11-13,Philadelphia Flyers,2,Dallas Stars,5,no
2021-11-13,Montreal Canadiens,2,Detroit Red Wings,3,OT
2021-11-13,Boston Bruins,5,New Jersey Devils,2,no
2021-11-13,Arizona Coyotes,1,Nashville Predators,4,no
2021-11-13,Pittsburgh Penguins,3,Ottawa Senators,6,no
2021-11-13,Minnesota Wild,4,Seattle Kraken,2,no
2021-11-13,Florida Panthers,2,Tampa Bay Lightning,3,OT
2021-11-13,Vancouver Canucks,4,Vegas Golden Knights,7,no
2021-11-13,Los Angeles Kings,2,Winnipeg Jets,3,OT
2021-11-14,Vancouver Canucks,1,Anaheim Ducks,5,no
2021-11-14,Montreal Canadiens,2,Boston Bruins,5,no
2021-11-14,New Jersey Devils,3,New York Rangers,4,SO
2021-11-14,Calgary Flames,4,Ottawa Senators,0,no
2021-11-14,Edmonton Oilers,5,St. Louis Blues,4,no
2021-11-14,Pittsburgh Penguins,1,Washington Capitals,6,no
2021-11-15,Detroit Red Wings,3,Columbus Blue Jackets,5,no
2021-11-15,New York Islanders,1,Tampa Bay Lightning,4,no
2021-11-16,Washington Capitals,2,Anaheim Ducks,3,OT
2021-11-16,Detroit Red Wings,2,Dallas Stars,5,no
2021-11-16,New York Islanders,1,Florida Panthers,6,no
2021-11-16,San Jose Sharks,4,Minnesota Wild,1,no
2021-11-16,Montreal Canadiens,2,New York Rangers,3,no
2021-11-16,Calgary Flames,1,Philadelphia Flyers,2,OT
2021-11-16,Buffalo Sabres,2,Pittsburgh Penguins,1,no
2021-11-16,Arizona Coyotes,3,St. Louis Blues,2,no
2021-11-16,Nashville Predators,0,Toronto Maple Leafs,3,no
2021-11-16,Carolina Hurricanes,4,Vegas Golden Knights,2,no
2021-11-16,Edmonton Oilers,2,Winnipeg Jets,5,no
2021-11-17,Washington Capitals,2,Los Angeles Kings,0,no
2021-11-17,Chicago Blackhawks,4,Seattle Kraken,2,no
2021-11-17,Colorado Avalanche,4,Vancouver Canucks,2,no
2021-11-18,Carolina Hurricanes,2,Anaheim Ducks,1,no
2021-11-18,Columbus Blue Jackets,5,Arizona Coyotes,4,SO
2021-11-18,Calgary Flames,5,Buffalo Sabres,0,no
2021-11-18,Winnipeg Jets,1,Edmonton Oilers,2,SO
2021-11-18,New Jersey Devils,1,Florida Panthers,4,no
2021-11-18,Dallas Stars,2,Minnesota Wild,7,no
2021-11-18,Pittsburgh Penguins,6,Montreal Canadiens,0,no
2021-11-18,Tampa Bay Lightning,4,Philadelphia Flyers,3,SO
2021-11-18,San Jose Sharks,1,St. Louis Blues,4,no
2021-11-18,New York Rangers,1,Toronto Maple Leafs,2,no
2021-11-18,Detroit Red Wings,2,Vegas Golden Knights,5,no
2021-11-19,Colorado Avalanche,7,Seattle Kraken,3,no
2021-11-19,Winnipeg Jets,2,Vancouver Canucks,3,no
2021-11-20,Detroit Red Wings,1,Arizona Coyotes,2,OT
2021-11-20,St. Louis Blues,1,Dallas Stars,4,no
2021-11-20,Chicago Blackhawks,2,Edmonton Oilers,5,no
2021-11-20,Minnesota Wild,4,Florida Panthers,5,no
2021-11-20,Carolina Hurricanes,5,Los Angeles Kings,4,no
2021-11-20,Nashville Predators,3,Montreal Canadiens,6,no
2021-11-20,Calgary Flames,5,New York Islanders,2,no
2021-11-20,Boston Bruins,5,Philadelphia Flyers,2,no
2021-11-20,Washington Capitals,4,San Jose Sharks,0,no
2021-11-20,New Jersey Devils,5,Tampa Bay Lightning,3,no
2021-11-20,Pittsburgh Penguins,2,Toronto Maple Leafs,0,no
2021-11-20,Columbus Blue Jackets,2,Vegas Golden Knights,3,no
2021-11-21,Calgary Flames,4,Boston Bruins,0,no
2021-11-21,Arizona Coyotes,2,Los Angeles Kings,1,OT
2021-11-21,Toronto Maple Leafs,3,New York Islanders,0,no
2021-11-21,Buffalo Sabres,4,New York Rangers,5,no
2021-11-21,Washington Capitals,2,Seattle Kraken,5,no
2021-11-21,Minnesota Wild,4,Tampa Bay Lightning,5,SO
2021-11-21,Chicago Blackhawks,1,Vancouver Canucks,0,no
2021-11-22,Columbus Blue Jackets,7,Buffalo Sabres,4,no
2021-11-22,Ottawa Senators,5,Colorado Avalanche,7,no
2021-11-22,Anaheim Ducks,2,Nashville Predators,3,no
2021-11-22,Carolina Hurricanes,1,San Jose Sharks,2,OT
2021-11-22,Vegas Golden Knights,2,St. Louis Blues,5,no
2021-11-22,Pittsburgh Penguins,3,Winnipeg Jets,1,no
2021-11-23,Chicago Blackhawks,2,Calgary Flames,5,no
2021-11-23,Edmonton Oilers,1,Dallas Stars,4,no
2021-11-23,Philadelphia Flyers,0,Tampa Bay Lightning,4,no
2021-11-24,Edmonton Oilers,5,Arizona Coyotes,3,no
2021-11-24,Boston Bruins,5,Buffalo Sabres,1,no
2021-11-24,Winnipeg Jets,0,Columbus Blue Jackets,3,no
2021-11-24,Anaheim Ducks,2,Colorado Avalanche,5,no
2021-11-24,St. Louis Blues,2,Detroit Red Wings,4,no
2021-11-24,Philadelphia Flyers,1,Florida Panthers,2,OT
2021-11-24,Toronto Maple Leafs,6,Los Angeles Kings,2,no
2021-11-24,Minnesota Wild,3,New Jersey Devils,2,SO
2021-11-24,Vegas Golden Knights,5,Nashville Predators,2,no
2021-11-24,New York Rangers,4,New York Islanders,1,no
2021-11-24,Vancouver Canucks,1,Pittsburgh Penguins,4,no
2021-11-24,Carolina Hurricanes,1,Seattle Kraken,2,no
2021-11-24,Ottawa Senators,3,San Jose Sharks,6,no
2021-11-24,Montreal Canadiens,3,Washington Capitals,6,no
2021-11-26,Ottawa Senators,0,Anaheim Ducks,4,no
2021-11-26,New York Rangers,5,Boston Bruins,2,no
2021-11-26,Montreal Canadiens,1,Buffalo Sabres,4,no
2021-11-26,Vancouver Canucks,2,Columbus Blue Jackets,4,no
2021-11-26,St. Louis Blues,2,Chicago Blackhawks,3,OT
2021-11-26,Colorado Avalanche,1,Dallas Stars,3,no
2021-11-26,Winnipeg Jets,1,Minnesota Wild,7,no
2021-11-26,New Jersey Devils,2,Nashville Predators,4,no
2021-11-26,Pittsburgh Penguins,1,New York Islanders,0,no
2021-11-26,Carolina Hurricanes,6,Philadelphia Flyers,3,no
2021-11-26,Toronto Maple Leafs,4,San Jose Sharks,1,no
2021-11-26,Seattle Kraken,0,Tampa Bay Lightning,3,no
2021-11-26,Florida Panthers,3,Washington Capitals,4,no
2021-11-27,Dallas Stars,3,Arizona Coyotes,2,no
2021-11-27,Winnipeg Jets,4,Calgary Flames,2,no
2021-11-27,Nashville Predators,2,Colorado Avalanche,6,no
2021-11-27,Buffalo Sabres,2,Detroit Red Wings,3,OT
2021-11-27,Seattle Kraken,4,Florida Panthers,1,no
2021-11-27,Ottawa Senators,2,Los Angeles Kings,4,no
2021-11-27,Montreal Canadiens,6,Pittsburgh Penguins,3,no
2021-11-27,Columbus Blue Jackets,3,St. Louis Blues,6,no
2021-11-27,Edmonton Oilers,3,Vegas Golden Knights,2,no
2021-11-28,Toronto Maple Leafs,5,Anaheim Ducks,1,no
2021-11-28,Vancouver Canucks,2,Boston Bruins,3,no
2021-11-28,Washington Capitals,4,Carolina Hurricanes,2,no
2021-11-28,San Jose Sharks,2,Chicago Blackhawks,0,no
2021-11-28,Tampa Bay Lightning,2,Minnesota Wild,4,no
2021-11-28,Philadelphia Flyers,2,New Jersey Devils,5,no
2021-11-29,Seattle Kraken,7,Buffalo Sabres,4,no
2021-11-29,Pittsburgh Penguins,1,Calgary Flames,2,SO
2021-11-29,Vancouver Canucks,2,Montreal Canadiens,1,no
2021-11-29,Arizona Coyotes,1,Winnipeg Jets,0,no
